comparison_family,left_id,right_id,case_id,source_language,document_id,task_layer,field,comparable_count,exact_match_count,metric_name,metric_status,metric_value,metric_undefined_reason,cohens_kappa_status,cohens_kappa_value,cohens_kappa_undefined_reason
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-lyceum-address,cmt,cmt.entailments,0,0,jaccard_overlap,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-lyceum-address,cmt,cmt.source_domain_primary,0,0,observed_agreement,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-lyceum-address,cmt,cmt.source_domain_secondary,0,0,jaccard_overlap,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-lyceum-address,cmt,cmt.target_domain,0,0,observed_agreement,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-lyceum-address,cmt,confidence,0,0,mean_absolute_difference,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-lyceum-address,cmt,uncertainty.status,0,0,observed_agreement,undefined,,no comparable observations,undefined,,fewer than two comparable observations
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-lyceum-address,identification,confidence,0,0,mean_absolute_difference,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-lyceum-address,identification,identification.basic_meaning,0,0,observed_agreement,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-lyceum-address,identification,identification.boundary_decision,0,0,observed_agreement,undefined,,no comparable observations,undefined,,fewer than two comparable observations
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-lyceum-address,identification,identification.boundary_span,0,0,jaccard_overlap,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-lyceum-address,identification,identification.comparison_basis,0,0,observed_agreement,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-lyceum-address,identification,identification.contextual_meaning,0,0,observed_agreement,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-lyceum-address,identification,identification.contrast_explanation,0,0,observed_agreement,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-lyceum-address,identification,identification.decision,0,0,observed_agreement,undefined,,no comparable observations,undefined,,fewer than two comparable observations
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-lyceum-address,identification,uncertainty.status,0,0,observed_agreement,undefined,,no comparable observations,undefined,,fewer than two comparable observations
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-lyceum-address,interpretation,confidence,4,0,mean_absolute_difference,defined,0.03649999999999995,,undefined,,not applicable to this field type
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-lyceum-address,interpretation,interpretation.absence.displacement_mechanism,0,0,observed_agreement,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-lyceum-address,interpretation,interpretation.absence.expected_presence,0,0,observed_agreement,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-lyceum-address,interpretation,interpretation.absence.possible_absence,0,0,observed_agreement,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-lyceum-address,interpretation,interpretation.absence.status,0,0,observed_agreement,undefined,,no comparable observations,undefined,,fewer than two comparable observations
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-lyceum-address,interpretation,interpretation.agency.agents,0,0,jaccard_overlap,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-lyceum-address,interpretation,interpretation.agency.beneficiaries,0,0,jaccard_overlap,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-lyceum-address,interpretation,interpretation.agency.excluded_agents,0,0,jaccard_overlap,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-lyceum-address,interpretation,interpretation.agency.patients,0,0,jaccard_overlap,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-lyceum-address,interpretation,interpretation.agency.sacrificial_subjects,0,0,jaccard_overlap,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-lyceum-address,interpretation,interpretation.functions.enemy_as_bringer_of_death,0,0,observed_agreement,undefined,,no comparable observations,undefined,,fewer than two comparable observations
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-lyceum-address,interpretation,interpretation.functions.obligatory_frame,0,0,observed_agreement,undefined,,no comparable observations,undefined,,fewer than two comparable observations
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-lyceum-address,interpretation,interpretation.functions.purification,0,0,observed_agreement,undefined,,no comparable observations,undefined,,fewer than two comparable observations
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-lyceum-address,interpretation,interpretation.functions.sacred_object,0,0,observed_agreement,undefined,,no comparable observations,undefined,,fewer than two comparable observations
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-lyceum-address,interpretation,interpretation.functions.sacrificial_body,0,0,observed_agreement,undefined,,no comparable observations,undefined,,fewer than two comparable observations
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-lyceum-address,interpretation,interpretation.functions.violence_logic,0,0,observed_agreement,undefined,,no comparable observations,undefined,,fewer than two comparable observations
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-lyceum-address,interpretation,uncertainty.status,0,0,observed_agreement,undefined,,no comparable observations,undefined,,fewer than two comparable observations
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,cmt,cmt.cluster_id,0,0,observed_agreement,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,cmt,cmt.conceptual_metaphor,0,0,observed_agreement,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,cmt,cmt.entailments,0,0,jaccard_overlap,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,cmt,cmt.source_domain_primary,0,0,observed_agreement,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,cmt,cmt.source_domain_secondary,0,0,jaccard_overlap,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,cmt,cmt.target_domain,0,0,observed_agreement,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,cmt,confidence,0,0,mean_absolute_difference,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue157-openai-interpretation-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,cmt,uncertainty.status,0,0,observed_agreement,undefined,,no comparable observations,undefined,,fewer than two comparable observations
